Guten Tag,

nach langer Zeit wieder einige DAX-Daten von mir. Es sind dies die 
vollstaendigen Daten fuer 1997, jetzt auch mit Eroeffnungsstaenden
(die  aus den ersten Januartagen fehlen mir leider). Fuer die Zukunft habe 
ich vor, die entsprechenden Daten wieder quartalsweise zu posten.

Daten aus weiter zurueckliegender Zeit befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Albrecht Pfenningwerth, der diesen Service ermoeglicht hat.

Nick

Deutscher Aktien-Index (DAX) 1997


Datum     Schluss   Hoechst   Tiefst    Eroeffnung
23.2.96   2451.78   2453.10   2437.56   2437.56
26.2.96   2442.34   2454.17   2440.96   2448.34
27.2.96   2444.92   2446.74   2434.38   2436.83
28.2.96   2472.50   2473.93   2463.26   2463.26
29.2.96   2473.55   2484.48   2471.94   2480.86
1.3.96    2501.22   2501.22   2486.99   2494.69
4.3.96    2487.99   2497.07   2485.79   2494.12
5.3.96    2479.03   2502.40   2478.10   2496.45
6.3.96    2466.04   2474.15   2464.29   2474.15
2.3.96    2480.94   2483.81   2477.99   2479.53
8.3.96    2469.12   2478.49   2457.25   2478.49
11.3.96   2407.79   2427.46   2400.54   2427.46
12.3.96   2435.97   2445.80   2426.76   2426.76
13.3.96   2426.38   2432.13   2417.07   2430.04
9.3.96   2426.49   2432.66   2424.05   2430.33
15.3.96   2458.23   2470.99   2450.46   2450.46
13.3.96   2463.16   2467.60   2449.75   2452.34
14.3.96   2493.26   2494.25   2486.66   2488.52
20.3.96   2485.90   2490.53   2478.70   2485.41
16.3.96   2504.12   2504.17   2492.24   2498.25
17.3.96   2504.02   2509.39   2496.01   2498.88
25.3.96   2510.32   2510.32   2500.62   2504.70
21.3.96   2499.32   2513.51   2496.58   2508.27
22.3.96   2525.42   2526.31   2516.26   2519.66
23.3.96   2508.44   2523.50   2503.49   2523.50
24.3.96   2485.87   2500.71   2476.55   2500.71
1.4.96    2489.09   2499.40   2487.37   2495.38
2.4.96    2501.22   2501.22   2490.92   2491.45
3.4.96    2494.40   2500.80   2490.57   2499.67
4.4.96    2495.18   2503.42   2492.61   2494.25
9.4.96    2503.26   2503.56   2487.06   2489.97
5.4.96   2530.02   2530.78   2515.22   2515.22
6.2.97   2509.71   2517.37   2505.95   2517.37
7.2.97   2511.78   2521.96   2507.54   2513.70
10.2.97   2545.94   2547.74   2536.20   2536.20
11.2.97   2538.38   2542.23   2532.74   2541.32
12.2.96   2524.18   2539.58   2522.52   2533.32
13.4.96   2535.52   2536.32   2519.08   2522.08
14.4.96   2536.52   2538.59   2521.47   2522.39
17.4.96   2545.91   2551.40   2542.45   2550.18
18.4.96   2550.18   2554.78   2547.45   2551.94
19.4.96   2538.26   2547.56   2534.43   2547.56
25.4.96   2532.41   2535.67   2526.32   2535.67
21.2.97   2537.17   2538.23   2529.93   2532.79
24.2.97   2506.46   2527.14   2506.46   2527.14
25.2.97   2505.25   2505.31   2487.27   2497.19
28.5.96    2502.31   2503.81   2487.07   2490.70
29.5.96    2457.49   2466.44   2455.21   2466.33
1.5.96    2468.91   2474.62   2464.45   2464.45
2.5.96    2479.53   2481.40   2469.24   2469.24
3.5.96    2472.64   2484.10   2472.56   2483.86
4.5.96    2469.38   2476.03   2466.55   2475.16
5.5.96   2468.78   2468.87   2462.99   2466.92
8.5.96   2496.17   2500.40   2492.48   2495.09
11.3.96   2519.73   2520.60   2509.39   2511.10
12.3.96   2528.75   2533.75   2524.21   2529.11
14.3.97   2537.33   2539.99   2526.04   2529.94
17.3.96   2550.00   2553.05   2546.09   2550.31
18.3.97   2570.78   2571.75   2551.37   2556.29
19.3.96   2556.87   2557.10   2547.91   2556.34
18.5.96   2560.46   2567.50   2557.37   2564.07
19.5.96   2542.24   2543.32   2536.57   2540.51
25.3.96   2558.30   2560.90   2553.40   2553.40
24.5.96   2551.45   2558.19   2550.67   2558.19
25.5.96   2527.31   2537.32   2527.03   2535.11
20. 02. 235.96   2542.80   2544.89   2536.87   2536.87
3.6.96    2532.83   2534.80   2524.80   2526.80
1.4.96    2546.25   2547.00   2537.12   2537.12
2.4.96    2552.53   2555.20   2548.03   2548.65
4.4.97    2557.43   2563.58   2555.78   2558.29
7.4.97   2558.81   2559.42   2553.72   2558.60
8.4.96   2546.35   2551.47   2545.37   2550.89
7.6.96   2568.88   2571.61   2558.71   2558.71
8.6.96   2567.47   2567.91   2559.61   2562.92
9.6.96   2548.83   2563.40   2547.81   2563.40
14.4.96   2546.12   2551.89   2544.83   2551.15
15.4.96   2549.29   2553.93   2548.66   2553.93
16.4.96   2554.29   2556.31   2551.74   2553.24
15.6.96   2539.67   2549.68   2537.46   2548.93
18.4.96   2540.11   2544.53   2534.99   2537.85
21.4.96   2566.43   2566.43   2550.79   2550.79
20.6.96   2572.96   2576.07   2567.61   2569.57
23.4.97   2573.69   2578.72   2573.67   2576.11
24.4.97   2551.62   2569.46   2551.62   2568.79
23.6.96   2561.39   2562.04   2554.56   2554.56
1.7.96    2564.00   2567.61   2553.92   2563.87
2.7.96    2572.25   2581.66   2569.13   2574.82
3.7.96    2568.95   2571.08   2565.72   2568.51
4.7.96    2577.39   2578.08   2569.06   2570.46
5.7.96    2583.49   2583.72   2578.44   2579.63
8.7.96    2551.04   2555.65   2546.09   2555.65
9.7.96    2562.18   2564.17   2554.52   2554.52
10.7.96   2567.43   2574.09   2565.49   2566.39
11.7.96   2575.54   2582.43   2570.77   2573.95
12.7.96   2544.26   2561.65   2544.16   2561.65
15.7.96   2550.53   2554.26   2539.27   2548.36
16.7.96   2469.79   2509.05   2468.13   2509.05
12.7.96   2497.19   2503.08   2494.72   2494.72
18.7.96   2506.22   2515.19   2505.57   2512.02
19.7.96   2520.19   2525.86   2516.90   2518.32
22.7.96   2482.40   2504.44   2479.32   2504.44
23.7.96   2475.07   2481.41   2473.58   2481.41
24.7.96   2447.80   2465.93   2446.23   2462.74
25.5.97   2465.00   2473.92   2462.31   2468.34
23.5.97   2470.34   2475.0    2465.95   2465.95
26.5.97   2477.81   2481.95   2472.09   2472.09
27.5.97   2457.48   2467.15   2453.78   2467.15
28.5.97   2473.35   2474.80   2468.41   2471.22
27.8.96    2494.46   2495.48   2491.00   2492.19
30.5.96    2508.65   2511.00   2505.54   2506.72
2.6.96    2520.93   2524.90   2517.18   2517.18
1.8.96    2522.47   2523.68   2515.19   2515.19
2.8.96    2531.89   2534.08   2528.28   2529.53
3.8.96    2538.15   2543.64   2536.94   2539.80
4.8.96    2525.64   2530.39   2521.78   2527.27
7.8.96   2528.18   2530.76   2525.75   2530.70
13.8.96   2539.41   2540.21   2535.75   2536.03
14.8.96   2538.68   2543.80   2536.67   2543.64
15.8.96   2546.33   2552.73   2545.98   2545.98
16.8.96   2548.36   2552.87   2546.72   2549.27
19.8.96   2562.76   2567.23   2559.17   2562.52
20.8.96   2560.26   2565.40   2558.89   2561.07
21.8.96   2543.74   2547.41   2541.80   2546.70
22.8.96   2557.26   2557.26   2535.99   2542.51
23.8.96   2555.16   2561.75   2555.08   2556.90
26.8.96   2552.36   2554.11   2547.51   2550.30
27.8.96   2558.84   2559.98   2550.49   2550.49
28.8.96   2563.16   2571.69   2563.01   2568.22
24.8.96   2560.06   2562.05   2555.74   2557.11
30.8.96   2543.83   2546.11   2536.57   2546.11
2.9.96    2532.88   2540.80   2530.04   2540.80
3.9.96    2510.77   2526.15   2510.30   2524.07
4.9.96    2532.39   2536.19   2527.69   2530.95
5.9.96    2529.54   2533.70   2526.16   2531.05
6.9.96    2517.00   2525.68   2515.06   2525.68
9.9.96    2548.78   2548.88   2534.90   2534.90
10.9.96   2570.95   2571.11   2561.33   2561.35
11.9.96   2566.80   2570.90   2565.62   2567.31
12.9.96   2570.32   2573.62   2565.04   2568.54
13.9.96   2595.96   2597.73   2585.00   2585.00
16.9.96   2629.87   2630.32   2611.40   2611.40
17.9.96   2628.08   2629.89   2622.73   2628.67
18.9.96   2625.70   2630.99   2624.90   2626.26
19.9.96   2624.44   2624.88   2620.92   2621.33
20.9.96   2646.10   2650.49   2637.69   2639.88
23.9.96   2627.04   2633.29   2625.62   2633.29
24.9.96   2638.45   2639.31   2633.18   2633.81
25.9.96   2658.97   2659.66   2649.39   2650.77
26.9.96   2666.55   2672.59   2661.87   2661.87
27.9.96   2659.04   2664.94   2655.38   2664.94
30.9.96   2651.85   2655.15   2643.52   2655.15
1.10.96   2655.73   2658.47   2645.90   2647.47
2.10.96   2676.50   2680.10   2668.63   2668.94
30.10.96   2683.28   2683.28   2675.18   2676.09
4.8.97   2702.64   2704.74   2696.54   2698.00
5.8.96   2691.17   2700.29   2689.58   2696.14
4.10.96   2702.99   2703.39   2692.74   2695.74
5.10.96  2680.75   2690.30   2679.30   2690.30
08.08.96  2686.03   2688.28   2683.31   2686.30
9.10.96  2693.88   2695.80   2686.56   2689.98
10.10.96  2728.45   2728.64   2711.22   2711.22
11.10.96  2714.90   2727.46   2712.39   2727.46
12.10.96  2716.26   2719.89   2713.10   2717.47
13.10.96  2734.82   2739.26   2728.64   2732.25
18.08.97  2729.03   2735.05   2724.15   2734.21
19.08.97  2718.98   2723.52   2716.58   2722.09
20.08.97  2699.53   2725.73   2696.94   2724.60
21.08.97  2678.43   2685.71   2674.27   2685.71
22.08.97  2674.22   2678.86   2663.31   2663.31
25.08.97  2703.83   2709.62   2694.69   2694.69
26.08.97  2673.62   2689.54   2672.33   2689.54
27.08.97  2678.73   2691.55   2678.73   2684.31
28.08.97  2659.25   2678.59   2656.53   2677.97
29.8.97   2683.25   2685.70   2675.39   2675.39
1.9.97   2671.86   2673.82   2665.88   2673.82
