Kursänderung für: Ficks AG (775057)
Datum          Kurs            Höchst           Tiefst          Umsatz
30.07.98       183,50          184,75           183,50          1.219
29.07.98       186             186              185             1.407
28.07.98       185,50          185,50           185             1.888
27.07.98       184             184,50           183             2.130
24.07.98       185             185              184             2.504
23.07.98       186             188              183             1.770
22.07.98       188             188              185             2.023
21.07.98       186             194              186             5.647
20.07.98       195             195              195             2.849
17.07.98       195             195              195             3.015
16.07.98       197,50          197,50           197,50          3.456
15.07.98       200             200              200             5.158
14.07.98       195             195              195             10.331
13.07.98       193             193              193             4.677
09.07.98       174             174              174             183
08.07.98       180             180              180             37
07.07.98       174,10          174,10           174,10          40
06.07.98       178             178              178             298
03.07.98       166,10          166,10           166,10          150
02.07.98       166,10          166,10           166,10          262
01.07.98       173             173              173             214
30.06.98       171             171              171             205
29.06.98       168             168              168             60
26.06.98       168             168              168             67
25.06.98       170             170              170             115
24.06.98       175             175              175             160
23.06.98       180             180              180             300
22.06.98       175             175              175             236
19.06.98       177             177              177             280
18.06.98       180             180              180             154
17.06.98       182,20          182,20           182,20          200
16.06.98       189             189              189             285
15.06.98       187             187              187             364
12.06.98       199             199              199             1.030
11.06.98       190,10          190,10           190,10          371
10.06.98       192,90          192,90           192,90          535
09.06.98       195             195              195             386
08.06.98       199,75          199,75           199,75          713
05.06.98       197             197              197             1.692
04.06.98       195             195              195             1.075
03.06.98       187             187              187             275
02.06.98       190             190              190             322
01.06.98       190             190              190             600
29.05.98       190             190              190             487
28.05.98       230             230              230             1.582
27.05.98       230             230              230             1.356
26.05.98       215             215              215             785
25.05.98       215             210              210             535
22.05.98       210             220              220             455
21.05.98       220             220              220             315
20.05.98       220             215              215             350
19.05.98       215             215              215             272
18.05.98       210             210              210             180
15.05.98       210             210              210             465
14.05.98       219             219              219             199
13.05.98       220             220              220             570
12.05.98       211             211              211             635
11.05.98       206             206              206             405
08.05.98       201             201              201             790
07.05.98       200             200              200             440
06.05.98       171,10          171,10           171,10          328
05.05.98       170,50          170,50           170,50          844
04.05.98       175             175              175             456
01.05.98       175             183              175             641
30.04.98       190             190              190             340
29.04.98       199,50          199,50           199,50          163
28.04.98       199,50          205              205             257
27.04.98       205             205              205             234
24.04.98       210             210              210             308
23.04.98       220             220              220             540
22.04.98       211,10          211,10           211,10          380
21.04.98       210             210              210             786
20.04.98       210             210              210             1.162
17.04.98       217             217              217             617
16.04.98       217             220              220             3.106
15.04.98       240             240              240             5.084
14.04.98       200             200              200             1.298
13.04.98       176,20          176,20           176,20          603
10.04.98       170             170              170             295
09.04.98       170             170              170             360
08.04.98       167             167              167             70
07.04.98       170             170              170             350
06.04.98       170             170              170             586
02.04.98       176             176              176             847
31.03.98       162             162              162             398
30.03.98       160             160              160             770
27.03.98       145             145              145             905
26.03.98       140             140              140             1.022
