Bernetsedter Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 Brotzeitlädle......    0.00     0.00     0.00
 Telecom Ital    0.00     0.00     0.00
 Telef.Espana    0.00     0.00     0.00
 Bizim.China.    0.00     0.00     0.00
 01.07.95    15:50:31    Kassa   Vortag
 Burgpassage    0.00     0.00     0.00
 Blütenraum.........    0.00     0.00     0.00
 Bermond.......    0.00     0.00     0.00
 Bettkasten...    0.00     0.00     0.00
 BackHausLiberda......    0.00     0.00     0.00
 Elet....    0.00     0.00     0.00
 Euromoda.    0.00     0.00     0.00
 EHHL    0.00     0.00     0.00
 Essmann Lg.Dist..    0.00     0.00     0.00
 EURONICS.    0.00     0.00     0.00
 Kelon..    0.00     0.00     0.00
 TTNF...    0.00     0.00     0.00
 TMDI....    0.00     0.00     0.00
 Ferdinand.    0.00     0.00     0.00
 HTE......    0.00     0.00     0.00
 Quahs Quilitz....    0.00     0.00     0.00

 Quelle: Krumackerfeld
